"RK","PLAYER NAME",TEAM,"FANTASYPTS","ATT","YDS","TDS","TGT","REC","YDS","TDS"
"1","Christian McCaffrey",SF,"24.5","18.3","70.7","0.6","7.6","6.0","54.4","0.4"
"2","Bijan Robinson",ATL,"21.8","16.9","86.9","0.4","6.1","4.6","48.2","0.2"
"3","Jahmyr Gibbs",DET,"21.6","14.3","71.9","0.8","5.5","4.5","36.2","0.3"
"4","De'Von Achane",MIA,"20.2","14.9","84.4","0.5","5.3","4.2","30.5","0.3"
"5","James Cook III",BUF,"17.8","18.2","95.4","0.7","2.4","1.9","17.1","0.1"
"6","Jonathan Taylor",IND,"21.3","19.0","93.2","1.1","3.2","2.7","22.2","0.1"
"7","Chase Brown",CIN,"16.6","13.6","59.9","0.4","5.2","4.1","25.7","0.3"
"8","Kyren Williams",LAR,"15.5","15.2","73.6","0.6","2.9","2.1","16.5","0.2"
"9","Ashton Jeanty",LV,"14.4","15.6","57.4","0.3","4.3","3.2","20.4","0.3"
"10","Saquon Barkley",PHI,"14.5","17.5","71.3","0.4","3.1","2.3","17.1","0.1"
"11","Derrick Henry",BAL,"16.4","18.1","93.8","0.9","1.2","0.9","8.8","0.0"
"12","Josh Jacobs",GB,"15.8","15.6","61.9","0.9","2.9","2.4","18.8","0.1"
"13","Javonte Williams",DAL,"15.2","15.8","75.1","0.7","3.2","2.2","8.6","0.1"
"14","Travis Etienne Jr.",NO,"14.9","15.3","65.1","0.4","3.1","2.1","17.2","0.4"
"15","Bucky Irving",TB,"13.8","17.3","58.8","0.1","3.5","3.0","27.7","0.3"
"16","Breece Hall",NYJ,"13.0","15.2","66.6","0.3","3.0","2.3","21.9","0.1"
"17","RJ Harvey",DEN,"12.2","8.6","31.8","0.4","3.4","2.8","20.9","0.3"
"18","Omarion Hampton",LAC,"15.1","13.8","60.6","0.4","3.9","3.6","21.3","0.1"
"19","TreVeyon Henderson",NE,"12.1","10.6","53.6","0.5","2.5","2.1","13.0","0.1"
"20","Jaylen Warren",PIT,"13.6","13.2","59.9","0.4","2.8","2.5","20.8","0.1"
"21","D'Andre Swift",CHI,"14.3","13.9","67.9","0.6","3.0","2.1","18.7","0.1"
"22","Rico Dowdle",PIT,"12.7","13.9","63.3","0.4","2.9","2.3","17.5","0.1"
"23","Kenneth Walker III",KC,"11.3","13.0","60.4","0.3","2.1","1.8","16.6","0.0"
"24","Aaron Jones Sr.",MIN,"9.9","11.0","45.7","0.2","3.4","2.3","16.6","0.1"
"25","Tyrone Tracy Jr.",NYG,"10.7","11.7","49.3","0.1","3.2","2.4","19.2","0.1"
"26","Tony Pollard",TEN,"10.9","14.2","63.6","0.3","2.4","1.9","12.1","0.0"
"27","Woody Marks",HOU,"9.4","12.3","43.9","0.1","2.3","1.5","13.0","0.2"
"28","David Montgomery",HOU,"9.8","9.3","42.1","0.5","1.7","1.4","11.3","0.0"
"29","Zach Charbonnet",SEA,"11.3","11.5","45.6","0.8","1.5","1.3","9.0","0.0"
"30","Rhamondre Stevenson",NE,"12.8","9.3","43.1","0.5","2.6","2.3","24.6","0.1"
"31","Kenneth Gainwell",TB,"13.0","6.7","31.6","0.3","5.0","4.3","28.6","0.2"
"32","Isiah Pacheco",DET,"6.7","9.1","35.5","0.1","2.0","1.5","7.8","0.1"
"33","Kyle Monangai",CHI,"8.6","9.9","46.1","0.3","1.8","1.1","9.6","0.0"
"34","Chuba Hubbard",CAR,"8.4","8.9","34.1","0.1","2.6","2.0","14.9","0.2"
"35","Jacory Croskey-Merritt",WAS,"8.3","10.3","47.4","0.5","0.8","0.5","4.0","0.0"
"36","Blake Corum",LAR,"7.2","8.5","43.9","0.4","0.8","0.5","2.1","0.0"
"37","Chris Rodriguez Jr.",JAX,"7.1","8.6","38.5","0.5","0.3","0.2","2.3","0.0"
"38","Devin Singletary",NYG,"6.4","7.0","25.7","0.3","1.1","1.1","8.9","0.0"
"39","Tyjae Spears",TEN,"8.6","5.5","21.8","0.2","3.8","3.5","20.3","0.0"
"40","Tyler Allgeier",ARI,"7.2","8.4","30.2","0.5","0.9","0.8","5.6","0.0"
