"RK","PLAYER NAME",TEAM,"FANTASYPTS","TGT","REC","YDS","TDS","ATT","YDS","TDS"
"1","Trey McBride",ARI,"18.6","9.9","7.4","72.9","0.6","0.0","0.0","0.0"
"2","George Kittle",SF,"14.7","6.3","5.2","57.1","0.6","0.1","-0.3","0.0"
"3","Tyler Warren",IND,"11.1","6.6","4.5","48.1","0.2","0.4","0.5","0.1"
"4","Jake Ferguson",DAL,"11.1","6.0","4.8","35.3","0.5","0.1","0.1","0.0"
"5","Travis Kelce",KC,"11.4","6.4","4.5","50.1","0.3","0.1","0.1","0.0"
"6","Dallas Goedert",PHI,"12.3","5.5","4.0","39.4","0.7","0.0","0.0","0.0"
"7","Kyle Pitts Sr.",ATL,"12.4","6.9","5.2","54.6","0.3","0.0","0.0","0.0"
"8","Harold Fannin Jr.",CLE,"11.7","6.7","4.5","45.7","0.4","0.4","0.8","0.1"
"9","Hunter Henry",NE,"10.5","5.1","3.5","45.2","0.4","0.0","0.0","0.0"
"10","Juwan Johnson",NO,"10.6","6.0","4.5","52.3","0.2","0.0","0.0","0.0"
"11","Colston Loveland",CHI,"10.3","5.1","3.6","44.6","0.4","0.1","-0.1","0.0"
"12","Dalton Schultz",HOU,"10.5","6.2","4.8","45.7","0.2","0.0","0.0","0.0"
"13","Dalton Kincaid",BUF,"10.5","4.1","3.3","47.6","0.4","0.0","0.0","0.0"
"14","Brenton Strange",JAX,"9.8","5.0","3.8","45.0","0.3","0.0","0.0","0.0"
"15","Oronde Gadsden II",LAC,"8.8","4.6","3.3","44.3","0.2","0.0","0.0","0.0"
"16","Mark Andrews",BAL,"7.7","4.1","2.8","24.8","0.3","0.6","2.8","0.1"
"17","Theo Johnson",NYG,"8.5","4.9","3.0","35.2","0.3","0.0","0.0","0.0"
"18","T.J. Hockenson",MIN,"7.5","4.4","3.4","29.2","0.2","0.1","0.0","0.0"
"19","Darren Waller",FA,"9.9","3.8","2.7","31.4","0.7","0.1","0.4","0.0"
"20","AJ Barner",SEA,"8.7","4.0","3.1","30.5","0.4","0.6","0.8","0.1"
"21","Cade Otton",TB,"7.6","5.1","3.7","35.8","0.1","0.0","0.0","0.0"
"22","Evan Engram",DEN,"6.4","4.8","3.1","28.8","0.1","0.1","0.4","0.0"
"23","Mike Gesicki",CIN,"5.4","3.2","2.2","23.6","0.2","0.0","0.0","0.0"
"24","Chig Okonkwo",WAS,"7.3","4.6","3.3","32.9","0.1","0.0","0.0","0.0"
"25","Luke Musgrave",GB,"2.9","1.8","1.4","14.8","0.0","0.0","0.0","0.0"
"26","Isaiah Likely",NYG,"4.4","2.6","1.9","21.9","0.1","0.0","0.0","0.0"
"27","Mason Taylor",NYJ,"6.8","5.0","3.4","28.4","0.1","0.0","0.0","0.0"
"28","Pat Freiermuth",PIT,"6.7","3.2","2.4","28.6","0.2","0.0","0.0","0.0"
"29","David Njoku",LAC,"7.2","4.0","2.8","24.4","0.3","0.0","0.0","0.0"
"30","Jonnu Smith",FA,"5.0","3.2","2.2","13.1","0.1","0.5","4.1","0.1"
"31","Colby Parkinson",LAR,"8.7","3.7","2.9","27.2","0.5","0.0","0.0","0.0"
"32","Taysom Hill",FA,"3.2","1.2","0.8","7.0","0.0","4.0","8.8","0.1"
"33","Gunnar Helm",TEN,"5.7","3.4","2.8","22.3","0.1","0.0","0.0","0.0"
"34","Ja'Tavion Sanders",CAR,"4.2","2.6","2.2","14.6","0.1","0.0","0.0","0.0"
"35","Darnell Washington",PIT,"4.6","2.7","1.9","22.8","0.1","0.0","0.0","0.0"
"36","Dawson Knox",BUF,"6.1","2.9","2.1","24.5","0.2","0.0","0.0","0.0"
"37","Cole Kmet",CHI,"4.9","3.0","1.9","21.7","0.1","0.0","0.0","0.0"
"38","Sam LaPorta",DET,"11.9","5.4","4.4","54.3","0.3","0.0","0.0","0.0"
"39","Noah Fant",NO,"5.0","2.7","2.3","19.2","0.2","0.0","0.0","0.0"
"40","Terrance Ferguson",LAR,"4.0","1.9","0.8","17.8","0.2","0.1","0.0","0.0"
"41","Michael Mayer",LV,"5.7","3.8","2.7","25.2","0.1","0.0","0.0","0.0"
"42","Tyler Higbee",LAR,"7.1","3.6","2.5","28.1","0.3","0.0","0.0","0.0"
"43","Ben Sinnott",WAS,"1.8","0.8","0.7","7.1","0.1","0.0","0.0","0.0"
"44","Brock Wright",DET,"3.3","2.0","1.3","9.8","0.2","0.0","0.0","0.0"
"45","Josh Oliver",MIN,"3.7","1.3","1.0","10.7","0.3","0.0","0.0","0.0"
"46","Tyler Conklin",DET,"1.7","1.0","0.7","10.1","0.0","0.1","0.2","0.0"
"47","Austin Hooper",ATL,"3.5","1.5","1.2","15.5","0.1","0.0","0.0","0.0"
"48","Elijah Higgins",ARI,"3.4","2.2","1.8","17.7","0.0","0.0","0.0","0.0"
"49","Greg Dulcich",MIA,"6.3","3.3","2.6","33.5","0.1","0.1","-0.7","0.0"
"50","Jeremy Ruckert",NYJ,"2.8","1.7","1.4","10.5","0.1","0.0","0.0","0.0"
"51","Davis Allen",LAR,"3.1","1.6","1.2","10.4","0.1","0.0","0.0","0.0"
"52","Tommy Tremble",CAR,"3.8","2.2","1.6","14.6","0.1","0.0","0.0","0.0"
"53","Jackson Hawes",BUF,"2.9","1.1","0.9","10.4","0.2","0.0","0.0","0.0"
"54","John Bates",WAS,"1.8","1.1","0.7","6.9","0.1","0.0","0.0","0.0"
"55","Noah Gray",KC,"2.4","2.3","1.3","11.1","0.0","0.0","0.0","0.0"
"56","Adam Trautman",DEN,"2.5","1.3","1.1","10.8","0.1","0.0","0.0","0.0"
"57","Hunter Long",JAX,"3.6","1.9","1.3","9.4","0.2","0.0","0.0","0.0"
"58","Mitchell Evans",CAR,"2.8","1.5","1.1","10.1","0.1","0.1","0.1","0.0"
"59","Cade Stover",HOU,"2.2","1.8","1.3","8.4","0.0","0.4","0.3","0.0"
"60","Shane Zylstra",BUF,"1.0","1.0","0.6","4.0","0.0","0.0","0.0","0.0"
"61","Anthony Firkser",FA,"1.9","1.4","1.1","7.6","0.0","0.0","0.0","0.0"
"62","Jake Tonges",SF,"5.8","2.9","2.1","18.3","0.3","0.0","0.0","0.0"
"63","Grant Calcaterra",PHI,"1.4","0.8","0.6","4.8","0.1","0.0","0.0","0.0"
"64","Jared Wiley",KC,"0.3","0.3","0.3","1.0","0.0","0.0","0.0","0.0"
"65","Stone Smartt",PHI,"1.4","1.0","0.8","5.8","0.0","0.0","0.0","0.0"
