"RK","PLAYER NAME",TEAM,"FANTASYPTS","TGT","REC","YDS","TDS","ATT","YDS","TDS"
"1","Jaxon Smith-Njigba",SEA,"21.2","9.6","7.0","105.5","0.6","0.4","2.1","0.0"
"2","Puka Nacua",LAR,"23.4","10.4","8.1","107.2","0.6","0.6","6.6","0.1"
"3","Ja'Marr Chase",CIN,"19.6","11.6","7.8","88.3","0.5","0.2","0.9","0.0"
"4","Amon-Ra St. Brown",DET,"19.1","10.1","6.9","82.4","0.6","0.2","0.5","0.0"
"5","CeeDee Lamb",DAL,"14.3","8.4","5.4","76.9","0.2","0.1","0.1","0.0"
"6","Nico Collins",HOU,"15.1","8.0","4.7","74.5","0.4","0.1","1.0","0.1"
"7","George Pickens",DAL,"17.2","8.1","5.5","84.1","0.5","0.0","0.0","0.0"
"8","A.J. Brown",PHI,"14.7","8.1","5.2","66.9","0.5","0.0","0.0","0.0"
"9","Drake London",ATL,"16.8","9.3","5.7","76.6","0.6","0.0","0.0","0.0"
"10","Chris Olave",NO,"16.8","9.8","6.3","72.7","0.6","0.1","-0.2","0.0"
"11","Tetairoa McMillan",CAR,"12.4","7.2","4.1","59.6","0.4","0.0","0.0","0.0"
"12","Jaylen Waddle",DEN,"12.1","6.3","4.0","56.9","0.4","0.1","1.8","0.0"
"13","Tee Higgins",CIN,"14.1","6.5","3.9","56.4","0.7","0.0","0.0","0.0"
"14","Justin Jefferson",MIN,"11.9","8.3","4.9","61.6","0.1","0.1","0.4","0.0"
"15","Jameson Williams",DET,"12.9","6.0","3.8","65.7","0.4","0.4","0.7","0.0"
"16","DeVonta Smith",PHI,"11.9","6.6","4.5","59.3","0.2","0.0","0.0","0.0"
"17","Zay Flowers",BAL,"14.3","6.9","5.1","71.2","0.3","0.6","3.6","0.1"
"18","Ladd McConkey",LAC,"11.3","6.6","4.1","49.3","0.4","0.0","0.0","0.0"
"19","Courtland Sutton",DEN,"12.9","7.3","4.4","59.8","0.4","0.0","0.0","0.0"
"20","Emeka Egbuka",TB,"11.5","7.5","3.7","55.2","0.4","0.1","0.5","0.0"
"21","Wan'Dale Robinson",TEN,"13.6","8.8","5.8","63.4","0.3","0.2","0.3","0.0"
"22","Terry McLaurin",WAS,"11.4","6.0","3.8","58.2","0.3","0.0","0.0","0.0"
"23","Stefon Diggs",FA,"12.4","6.0","5.0","59.6","0.2","0.0","0.0","0.0"
"24","Mike Evans",SF,"10.6","7.6","3.8","46.0","0.4","0.0","0.0","0.0"
"25","Michael Pittman Jr.",PIT,"11.9","6.5","4.7","46.1","0.4","0.0","0.0","0.0"
